layout_id,node_id,node_name,node_role,space_type,zone_type,apartment_id,floor_id,physical_floor,area,volume,X,Y,Z
BB_01,0,BB_01_F00_0_Bath_01,room,Bath,service,,0,0,27.402727,9.168,1.0682,4.175,5.4
BB_01,1,BB_01_F02_16_Hall_01,room,Hall,circulation,16,2,1,42.453333,11.264,2.0222,2.6,8.6
BB_01,2,BB_01_F02_16_Bath_01,room,Bath,service,16,2,1,25.22127,7.748571,0.8278,4.0357,8.6
BB_01,3,BB_01_F00_0_Hall_01,room,Hall,circulation,,0,0,43.810909,12.567273,2.5455,2.6,5.4
BB_01,4,BB_01_F00_0_Bedroom_01,room,Bedroom,private,,0,0,40.237273,16.391273,1.0682,1.675,5.4
BB_01,5,BB_01_F02_16_Kitchen_01,room,Kitchen,private,16,2,1,31.840952,10.733206,0.8278,1.5357,8.6
BB_01,6,BB_01_F02_16_Living_01,room,Living,private,16,2,1,77.297778,44.714667,4.0444,2.6,8.6
BB_01,7,BB_01_F00_0_Kitchen_01,room,Kitchen,private,,0,0,33.310909,12.384,4.3273,4.175,5.4
BB_01,8,BB_01_F00_0_Living_01,room,Living,private,,0,0,47.729091,22.141091,4.3273,1.675,5.4
BB_01,9,BB_01_F00_1_Bath_01,room,Bath,service,1,0,0,27.402727,9.168,1.0682,7.825,5.4
BB_01,10,BB_01_F02_17_Bath_01,room,Bath,service,17,2,1,27.402727,9.168,1.0682,7.825,8.6
BB_01,11,BB_01_F00_1_Bedroom_01,room,Bedroom1,private,1,0,0,40.237273,16.391273,1.0682,10.325,5.4
BB_01,12,BB_01_F02_17_Bedroom_01,room,Bedroom,private,17,2,1,40.237273,16.391273,1.0682,10.325,8.6
BB_01,13,BB_01_F00_1_Hall_01,room,Hall,circulation,1,0,0,43.810909,12.567273,2.5455,9.4,5.4
BB_01,14,BB_01_F02_17_Hall_01,room,Hall,circulation,17,2,1,43.810909,12.567273,2.5455,9.4,8.6
BB_01,15,BB_01_F00_1_Kitchen_01,room,Kitchen,private,1,0,0,23.218182,5.554036,4.3273,7.37,5.4
BB_01,16,BB_01_F02_17_Kitchen_01,room,Kitchen,private,17,2,1,33.310909,12.384,4.3273,7.825,8.6
BB_01,17,BB_01_F00_1_Bedroom_02,room,Bedroom2,private,1,0,0,35.861818,14.110255,4.3273,8.88,5.4
BB_01,18,BB_01_F02_17_Living_01,room,Living,private,17,2,1,47.729091,22.141091,4.3273,10.325,8.6
BB_01,19,BB_01_F00_1_Living_01,room,Living,private,1,0,0,34.752727,13.359709,4.3273,10.91,5.4
BB_01,20,BB_01_F00_2_Bath_01,room,Bath,service,2,0,0,28.372727,9.696,6.6182,4.175,5.4
BB_01,21,BB_01_F02_18_Bath_01,room,Bath,service,18,2,1,28.372727,9.696,6.6182,4.175,8.6
BB_01,22,BB_01_F00_2_Bedroom_01,room,Bedroom1,private,2,0,0,41.467273,17.335273,6.6182,1.675,5.4
BB_01,23,BB_01_F02_18_Bedroom_01,room,Bedroom,private,18,2,1,41.467273,17.335273,6.6182,1.675,8.6
BB_01,24,BB_01_F00_2_Hall_01,room,Hall,circulation,2,0,0,43.810909,12.567273,8.1455,2.6,5.4
BB_01,25,BB_01_F02_18_Hall_01,room,Hall,circulation,18,2,1,43.810909,12.567273,8.1455,2.6,8.6
BB_01,26,BB_01_F00_2_Kitchen_01,room,Kitchen,private,2,0,0,23.218182,5.554036,9.9273,4.63,5.4
BB_01,27,BB_01_F02_18_Kitchen_01,room,Kitchen,private,18,2,1,33.310909,12.384,9.9273,4.175,8.6
BB_01,28,BB_01_F00_2_Bedroom_02,room,Bedroom2,private,2,0,0,35.861818,14.110255,9.9273,3.12,5.4
BB_01,29,BB_01_F02_18_Living_01,room,Living,private,18,2,1,47.729091,22.141091,9.9273,1.675,8.6
BB_01,30,BB_01_F00_2_Living_01,room,Living,private,2,0,0,34.752727,13.359709,9.9273,1.09,5.4
BB_01,31,BB_01_F00_3_Bath_01,room,Bath,service,3,0,0,26.246984,8.365714,6.3778,7.9643,5.4
BB_01,32,BB_01_F02_19_Bath_01,room,Bath,service,19,2,1,28.372727,9.696,6.6182,7.825,8.6
BB_01,33,BB_01_F00_3_Hall_01,room,Hall,circulation,3,0,0,42.453333,11.264,7.6222,9.4,5.4
BB_01,34,BB_01_F02_19_Hall_01,room,Hall,circulation,19,2,1,43.810909,12.567273,8.1455,9.4,8.6
BB_01,35,BB_01_F02_19_Bedroom_01,room,Bedroom1,private,19,2,1,41.467273,17.335273,6.6182,10.325,8.6
BB_01,36,BB_01_F00_3_Living_01,room,Living,private,3,0,0,77.297778,44.714667,9.6444,9.4,5.4
BB_01,37,BB_01_F00_3_Kitchen_01,room,Kitchen,private,3,0,0,33.015238,11.588063,6.3778,10.4643,5.4
BB_01,38,BB_01_F02_19_Kitchen_01,room,Kitchen,private,19,2,1,23.218182,5.554036,9.9273,7.37,8.6
BB_01,39,BB_01_F02_19_Bedroom_02,room,Bedroom2,private,19,2,1,35.861818,14.110255,9.9273,8.88,8.6
BB_01,40,BB_01_F02_19_Living_01,room,Living,private,19,2,1,34.752727,13.359709,9.9273,10.91,8.6
BB_01,41,BB_01_F00_4_Bath_01,room,Bath,service,4,0,0,26.246984,8.365714,13.5778,4.0357,5.4
BB_01,42,BB_01_F02_20_Bedroom_01,room,Bedroom1,private,20,2,1,41.467273,17.335273,13.8182,1.675,8.6
BB_01,43,BB_01_F02_20_Bath_01,room,Bath,service,20,2,1,28.372727,9.696,13.8182,4.175,8.6
BB_01,44,BB_01_F00_4_Kitchen_01,room,Kitchen,private,4,0,0,33.015238,11.588063,13.5778,1.5357,5.4
BB_01,45,BB_01_F00_4_Hall_01,room,Hall,circulation,4,0,0,42.453333,11.264,14.8222,2.6,5.4
BB_01,46,BB_01_F02_20_Hall_01,room,Hall,circulation,20,2,1,43.810909,12.567273,15.3455,2.6,8.6
BB_01,47,BB_01_F00_4_Living_01,room,Living,private,4,0,0,77.297778,44.714667,16.8444,2.6,5.4
BB_01,48,BB_01_F02_20_Living_01,room,Living,private,20,2,1,34.752727,13.359709,17.1273,1.09,8.6
BB_01,49,BB_01_F02_20_Kitchen_01,room,Kitchen,private,20,2,1,23.218182,5.554036,17.1273,4.63,8.6
BB_01,50,BB_01_F02_20_Bedroom_02,room,Bedroom2,private,20,2,1,35.861818,14.110255,17.1273,3.12,8.6
BB_01,51,BB_01_F00_5_Bath_01,room,Bath,service,5,0,0,28.372727,9.696,13.8182,7.825,5.4
BB_01,52,BB_01_F02_21_Hall_01,room,Hall,circulation,21,2,1,42.453333,11.264,14.8222,9.4,8.6
BB_01,53,BB_01_F02_21_Bath_01,room,Bath,service,21,2,1,26.246984,8.365714,13.5778,7.9643,8.6
BB_01,54,BB_01_F00_5_Hall_01,room,Hall,circulation,5,0,0,43.810909,12.567273,15.3455,9.4,5.4
BB_01,55,BB_01_F00_5_Bedroom_01,room,Bedroom,private,5,0,0,41.467273,17.335273,13.8182,10.325,5.4
BB_01,56,BB_01_F02_21_Living_01,room,Living,private,21,2,1,77.297778,44.714667,16.8444,9.4,8.6
BB_01,57,BB_01_F02_21_Kitchen_01,room,Kitchen,private,21,2,1,33.015238,11.588063,13.5778,10.4643,8.6
BB_01,58,BB_01_F00_5_Kitchen_01,room,Kitchen,private,5,0,0,33.310909,12.384,17.1273,7.825,5.4
BB_01,59,BB_01_F00_5_Living_01,room,Living,private,5,0,0,47.729091,22.141091,17.1273,10.325,5.4
BB_01,60,BB_01_F00_6_Bath_01,room,Bath,service,6,0,0,28.372727,9.696,19.4182,4.175,5.4
BB_01,61,BB_01_F02_22_Hall_01,room,Hall,circulation,22,2,1,42.453333,11.264,20.4222,2.6,8.6
