layout_id,src_id,dst_id,edge_type,contact_axis,gap_m,shared_span_m,physical_floor
BB_03,0,2,bbox_spatial_adjacency,x,0.2,5.0143,0
BB_03,0,6,bbox_spatial_adjacency,y,0.2,1.6722,0
BB_03,0,121,bbox_spatial_adjacency,y,0.2,1.6722,0
BB_03,1,3,bbox_spatial_adjacency,y,0.2,2.2818,1
BB_03,1,4,bbox_spatial_adjacency,x,0.2,4.35,1
BB_03,1,124,bbox_spatial_adjacency,y,0.2,2.2818,1
BB_03,2,6,bbox_spatial_adjacency,x,0.2,6.7857,0
BB_03,2,7,bbox_spatial_adjacency,x,0.2,12.0,0
BB_03,2,121,bbox_spatial_adjacency,y,0.2,0.9833,0
BB_03,3,4,bbox_spatial_adjacency,x,0.2,7.45,1
BB_03,4,8,bbox_spatial_adjacency,x,0.2,2.18,1
BB_03,4,11,bbox_spatial_adjacency,x,0.2,4.76,1
BB_03,4,12,bbox_spatial_adjacency,x,0.2,4.66,1
BB_03,4,124,bbox_spatial_adjacency,y,0.2,1.0909,1
BB_03,5,9,bbox_spatial_adjacency,x,0.2,4.35,2
BB_03,5,10,bbox_spatial_adjacency,y,0.2,2.2818,2
BB_03,5,127,bbox_spatial_adjacency,y,0.2,2.2818,2
BB_03,7,15,bbox_spatial_adjacency,x,0.2,4.35,0
BB_03,7,22,bbox_spatial_adjacency,x,0.2,7.45,0
BB_03,7,121,bbox_spatial_adjacency,y,0.2,3.7444,0
BB_03,8,11,bbox_spatial_adjacency,y,0.2,3.0273,1
BB_03,8,17,bbox_spatial_adjacency,x,0.2,2.18,1
BB_03,8,124,bbox_spatial_adjacency,y,0.2,3.0273,1
BB_03,9,10,bbox_spatial_adjacency,x,0.2,7.45,2
BB_03,9,13,bbox_spatial_adjacency,x,0.2,4.35,2
BB_03,9,14,bbox_spatial_adjacency,x,0.2,7.45,2
BB_03,9,127,bbox_spatial_adjacency,y,0.2,1.0909,2
BB_03,11,12,bbox_spatial_adjacency,y,0.2,3.0273,1
BB_03,11,17,bbox_spatial_adjacency,x,0.2,2.6343,1
BB_03,11,24,bbox_spatial_adjacency,x,0.2,1.9257,1
BB_03,12,24,bbox_spatial_adjacency,x,0.2,4.66,1
BB_03,13,14,bbox_spatial_adjacency,y,0.2,3.0273,2
BB_03,13,21,bbox_spatial_adjacency,x,0.2,4.35,2
BB_03,13,127,bbox_spatial_adjacency,y,0.2,3.0273,2
BB_03,14,25,bbox_spatial_adjacency,x,0.2,7.45,2
BB_03,15,18,bbox_spatial_adjacency,x,0.2,4.35,0
BB_03,15,22,bbox_spatial_adjacency,y,0.2,2.3818,0
BB_03,15,121,bbox_spatial_adjacency,y,0.2,2.3818,0
