layout_id,node_id,node_role,space_type,floor_id,physical_floor,component_id,community_id,degree,degree_cent,betweenness,closeness,clustering
BB_01,0,room,Bath,0,0,0,2,3,0.017241,0.010915,0.112694,0.666667
BB_01,1,room,Hall,2,1,1,4,4,0.022989,0.012016,0.110692,0.5
BB_01,2,room,Bath,2,1,1,4,3,0.017241,0.011172,0.110119,0.666667
BB_01,3,room,Hall,0,0,0,2,5,0.028736,0.022677,0.113577,0.4
BB_01,4,room,Bedroom,0,0,0,2,2,0.011494,0.0,0.092949,1.0
BB_01,5,room,Kitchen,2,1,1,4,2,0.011494,0.0,0.090824,1.0
BB_01,6,room,Living,2,1,1,4,4,0.022989,0.005578,0.110692,0.5
BB_01,7,room,Kitchen,0,0,0,2,4,0.022989,0.010737,0.113281,0.5
BB_01,8,room,Living,0,0,0,2,3,0.017241,0.000757,0.094156,0.333333
BB_01,9,room,Bath,0,0,0,2,3,0.017241,0.010759,0.112987,0.666667
BB_01,10,room,Bath,2,1,1,4,3,0.017241,0.011035,0.110405,0.666667
BB_01,11,room,Bedroom1,0,0,0,2,2,0.011494,0.0,0.093348,1.0
BB_01,12,room,Bedroom,2,1,1,4,2,0.011494,0.0,0.091214,1.0
BB_01,13,room,Hall,0,0,0,2,6,0.034483,0.035882,0.114173,0.333333
BB_01,14,room,Hall,2,1,1,4,5,0.028736,0.020869,0.111272,0.4
BB_01,15,room,Kitchen,0,0,0,2,4,0.022989,0.00616,0.113577,0.666667
BB_01,16,room,Kitchen,2,1,1,4,4,0.022989,0.008786,0.110981,0.5
BB_01,17,room,Bedroom2,0,0,0,2,5,0.028736,0.000891,0.094565,0.5
BB_01,18,room,Living,2,1,1,4,3,0.017241,0.000775,0.092404,0.333333
BB_01,19,room,Living,0,0,0,2,3,0.017241,0.000334,0.094156,0.666667
BB_01,20,room,Bath,0,0,0,2,4,0.022989,0.006532,0.113577,0.5
BB_01,21,room,Bath,2,1,1,4,4,0.022989,0.004881,0.110692,0.666667
BB_01,22,room,Bedroom1,0,0,0,2,3,0.017241,0.001025,0.09436,0.333333
BB_01,23,room,Bedroom,2,1,1,4,3,0.017241,0.000146,0.091805,0.666667
BB_01,24,room,Hall,0,0,0,2,6,0.034483,0.019936,0.114173,0.333333
BB_01,25,room,Hall,2,1,1,4,5,0.028736,0.014216,0.110981,0.4
BB_01,26,room,Kitchen,0,0,0,2,4,0.022989,0.007853,0.136364,0.666667
BB_01,27,room,Kitchen,2,1,1,4,4,0.022989,0.010886,0.134088,0.666667
BB_01,28,room,Bedroom2,0,0,0,2,4,0.022989,0.006752,0.131024,0.666667
BB_01,29,room,Living,2,1,1,4,3,0.017241,0.009813,0.128805,0.666667
BB_01,30,room,Living,0,0,0,2,3,0.017241,0.006663,0.130631,0.666667
BB_01,31,room,Bath,0,0,0,2,5,0.028736,0.011307,0.113577,0.5
BB_01,32,room,Bath,2,1,1,4,4,0.022989,0.00292,0.111272,0.5
BB_01,33,room,Hall,0,0,0,2,4,0.022989,0.029281,0.128698,0.5
BB_01,34,room,Hall,2,1,1,4,6,0.034483,0.03374,0.127263,0.333333
BB_01,35,room,Bedroom1,2,1,1,4,3,0.017241,0.005183,0.102919,0.333333
BB_01,36,room,Living,0,0,0,2,4,0.022989,0.124587,0.158759,0.5
BB_01,37,room,Kitchen,0,0,0,2,4,0.022989,0.006224,0.104567,0.5
BB_01,38,room,Kitchen,2,1,1,4,4,0.022989,0.003503,0.134088,0.666667
BB_01,39,room,Bedroom2,2,1,1,4,4,0.022989,0.002575,0.129591,0.666667
BB_01,40,room,Living,2,1,1,4,4,0.022989,0.04445,0.150197,0.5
BB_01,41,room,Bath,0,0,0,5,4,0.022989,0.006194,0.135514,0.666667
BB_01,42,room,Bedroom1,2,1,1,7,3,0.017241,0.013046,0.129987,0.666667
BB_01,43,room,Bath,2,1,1,7,4,0.022989,0.013967,0.134512,0.666667
BB_01,44,room,Kitchen,0,0,0,5,3,0.017241,0.005043,0.129851,0.666667
BB_01,45,room,Hall,0,0,0,5,4,0.022989,0.001953,0.112403,0.5
BB_01,46,room,Hall,2,1,1,7,6,0.034483,0.035054,0.111857,0.333333
BB_01,47,room,Living,0,0,0,5,4,0.022989,0.007908,0.112403,0.5
BB_01,48,room,Living,2,1,1,7,3,0.017241,0.000342,0.092404,0.666667
BB_01,49,room,Kitchen,2,1,1,7,4,0.022989,0.005378,0.111272,0.666667
BB_01,50,room,Bedroom2,2,1,1,7,5,0.028736,0.000898,0.092807,0.5
BB_01,51,room,Bath,0,0,0,5,4,0.022989,0.003211,0.135937,0.666667
BB_01,52,room,Hall,2,1,1,1,5,0.028736,0.10535,0.146068,0.4
BB_01,53,room,Bath,2,1,1,1,4,0.022989,0.002383,0.133666,0.666667
BB_01,54,room,Hall,0,0,0,5,6,0.034483,0.124302,0.147959,0.333333
BB_01,55,room,Bedroom,0,0,0,5,4,0.022989,0.006031,0.150519,0.666667
BB_01,56,room,Living,2,1,1,7,4,0.022989,0.020386,0.125386,0.5
